epoch,train_loss,val_loss,val_miou,val_accuracy,iou_drivable,iou_non_drivable,iou_static,iou_dynamic,learning_rate
1,1.469536,1.406886,9.89,13.31,0.00,11.61,0.00,27.94,0.00500000
2,1.170443,1.383251,13.66,54.64,0.00,0.00,54.64,0.00,0.00487767
3,1.174137,1.353008,13.66,54.64,0.00,0.00,54.64,0.00,0.00452264
4,1.036788,1.321790,13.66,54.64,0.00,0.00,54.64,0.00,0.00396967
5,0.995838,1.289866,13.66,54.64,0.00,0.00,54.64,0.00,0.00327289
6,0.901796,1.262469,13.66,54.64,0.00,0.00,54.64,0.00,0.00250050
7,0.923921,1.237930,13.66,54.64,0.00,0.00,54.64,0.00,0.00172811
8,0.794557,1.215962,13.66,54.64,0.00,0.00,54.64,0.00,0.00103133
9,0.883626,1.200918,13.66,54.64,0.00,0.00,54.64,0.00,0.00047836
10,0.778545,1.185321,13.66,54.64,0.00,0.00,54.64,0.00,0.00012333
