epoch,train_loss,val_loss,val_miou,val_accuracy,iou_drivable,iou_non_drivable,iou_static,iou_dynamic,learning_rate
1,1.469536,1.406886,9.89,13.31,0.00,11.61,0.00,27.94,0.00500000
2,1.170444,1.383250,13.66,54.64,0.00,0.00,54.64,0.00,0.00487767
3,1.169412,1.352865,13.66,54.64,0.00,0.00,54.64,0.00,0.00452264
4,1.036732,1.320835,13.66,54.64,0.00,0.00,54.64,0.00,0.00396967
5,1.030149,1.288712,13.66,54.64,0.00,0.00,54.64,0.00,0.00327289
6,0.879613,1.260094,13.66,54.64,0.00,0.00,54.64,0.00,0.00250050
7,0.972693,1.231854,13.66,54.64,0.00,0.00,54.64,0.00,0.00172811
8,0.807290,1.207921,13.66,54.64,0.00,0.00,54.64,0.00,0.00103133
9,0.898818,1.191075,13.66,54.64,0.00,0.00,54.64,0.00,0.00047836
10,0.758380,1.174299,13.66,54.64,0.00,0.00,54.64,0.00,0.00012333
