epoch,train_loss,val_loss,val_miou,val_accuracy,iou_drivable,iou_non_drivable,iou_static,iou_dynamic,learning_rate
1,1.501848,1.388387,2.85,11.39,0.00,11.39,0.00,0.00,0.00500000
2,1.271447,1.385829,2.85,11.39,0.00,11.39,0.00,0.00,0.00487767
3,1.208759,1.382675,2.85,11.39,0.00,11.39,0.00,0.00,0.00452264
4,1.105865,1.380040,2.85,11.39,0.00,11.39,0.00,0.00,0.00396967
5,1.098302,1.378459,2.85,11.39,0.00,11.39,0.00,0.00,0.00327289
6,1.042266,1.377925,2.85,11.39,0.00,11.39,0.00,0.00,0.00250050
7,0.979723,1.378184,2.85,11.39,0.00,11.39,0.00,0.00,0.00172811
8,0.937385,1.378999,2.85,11.39,0.00,11.39,0.00,0.00,0.00103133
9,0.952701,1.380216,2.85,11.39,0.00,11.39,0.00,0.00,0.00047836
10,0.887141,1.381630,2.85,11.39,0.00,11.39,0.00,0.00,0.00012333
