epoch,train_loss,val_loss,val_miou,val_accuracy,iou_drivable,iou_non_drivable,iou_static,iou_dynamic,learning_rate
1,1.499791,1.388654,2.85,11.39,0.00,11.39,0.00,0.00,0.00500000
2,1.263746,1.385866,2.85,11.39,0.00,11.39,0.00,0.00,0.00487767
3,1.203190,1.382595,2.85,11.39,0.00,11.39,0.00,0.00,0.00452264
4,1.190768,1.380361,2.85,11.39,0.00,11.39,0.00,0.00,0.00396967
5,1.116798,1.379243,2.85,11.39,0.00,11.39,0.00,0.00,0.00327289
6,1.034014,1.379216,2.85,11.39,0.00,11.39,0.00,0.00,0.00250050
7,1.033961,1.380540,2.85,11.39,0.00,11.39,0.00,0.00,0.00172811
8,0.955290,1.382379,2.85,11.39,0.00,11.39,0.00,0.00,0.00103133
9,0.956040,1.384873,2.85,11.39,0.00,11.39,0.00,0.00,0.00047836
10,0.888983,1.387445,2.85,11.39,0.00,11.39,0.00,0.00,0.00012333
