epoch,train_loss,val_loss,val_miou,val_accuracy,iou_drivable,iou_non_drivable,iou_static,iou_dynamic,learning_rate
1,1.501848,1.388387,2.85,11.39,0.00,11.39,0.00,0.00,0.00500000
2,1.271450,1.385830,2.85,11.39,0.00,11.39,0.00,0.00,0.00487767
3,1.209213,1.382685,2.85,11.39,0.00,11.39,0.00,0.00,0.00452264
4,1.084884,1.380122,2.85,11.39,0.00,11.39,0.00,0.00,0.00396967
5,1.099621,1.378646,2.85,11.39,0.00,11.39,0.00,0.00,0.00327289
6,1.034537,1.378214,2.85,11.39,0.00,11.39,0.00,0.00,0.00250050
7,0.989482,1.378247,2.85,11.39,0.00,11.39,0.00,0.00,0.00172811
8,0.938791,1.378947,2.85,11.39,0.00,11.39,0.00,0.00,0.00103133
9,0.947667,1.380165,2.85,11.39,0.00,11.39,0.00,0.00,0.00047836
10,0.872173,1.381697,2.85,11.39,0.00,11.39,0.00,0.00,0.00012333
