epoch,train_loss,val_loss,val_miou,val_accuracy,iou_drivable,iou_non_drivable,iou_static,iou_dynamic,learning_rate
1,1.499791,1.388654,2.85,11.39,0.00,11.39,0.00,0.00,0.00500000
2,1.263751,1.385865,2.85,11.39,0.00,11.39,0.00,0.00,0.00487767
3,1.201800,1.382600,2.85,11.39,0.00,11.39,0.00,0.00,0.00452264
4,1.204462,1.380366,2.85,11.39,0.00,11.39,0.00,0.00,0.00396967
5,1.123943,1.379286,2.85,11.39,0.00,11.39,0.00,0.00,0.00327289
6,1.065881,1.379178,2.85,11.39,0.00,11.39,0.00,0.00,0.00250050
7,1.024955,1.380215,2.85,11.39,0.00,11.39,0.00,0.00,0.00172811
8,0.980957,1.381822,2.85,11.39,0.00,11.39,0.00,0.00,0.00103133
9,0.958021,1.383810,2.85,11.39,0.00,11.39,0.00,0.00,0.00047836
10,0.951251,1.386234,2.85,11.39,0.00,11.39,0.00,0.00,0.00012333
